no polarizar,,,polarizer horizontal,,,polarizer vertical,
"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:34 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:40 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:43 AM",
Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts)
180,1.96628,,180,4.20037,,180,4.20069
180,1.96692,,180,4.20181,,180,4.20181
180,1.96434,,180,4.20085,,180,4.1994
180,1.97014,,180,4.19908,,180,4.19972
180,1.96902,,180,4.20391,,180,4.19763
180,1.96499,,180,4.20214,,180,4.20246
180,1.96757,,180,4.20117,,180,4.20037
180,1.97175,,180,4.20165,,180,4.20004
180,1.97095,,180,4.20085,,180,4.20101
180,1.96869,,180,4.19843,,180,4.2023
180,1.9695,,180,4.20117,,180,4.20214
180,1.96805,,180,4.20117,,180,4.20165
180,1.96837,,180,4.20069,,180,4.20117
180,1.96918,,180,4.19972,,180,4.19811
180,1.96966,,180,4.2002,,180,4.19956
180,1.96966,,180.01667,4.20262,,180,4.20246
180,1.96612,,180,4.20181,,180,4.20326
180,1.96918,,180,4.19843,,180,4.20246
180,1.96902,,180,4.20214,,180,4.20181
180,1.97143,,180,4.20262,,180,4.20181
180,1.97336,,180,4.19972,,180,4.20037
180,1.97111,,180,4.20053,,180,4.20246
180,1.97481,,180,4.20198,,180,4.20053
180,1.97208,,180,4.19924,,180,4.20214
180,1.9703,,180,4.19908,,180,4.20133
180,1.96885,,180,4.19892,,180,4.19827
180,1.96708,,180,4.20053,,180,4.19682
180,1.97272,,180,4.20085,,180,4.20246
180,1.97127,,180,4.2023,,180,4.20326
180,1.97014,,180,4.20117,,180,4.20214
180,1.96869,,180,4.19875,,180,4.19811
180,1.9703,,180,4.20359,,180,4.20004
180,1.9724,,180,4.2023,,180,4.20004
180,1.97288,,180,4.20133,,180,4.20246
180,1.97224,,180,4.20359,,180,4.20326
180,1.97272,,180,4.20037,,180,4.20504
180,1.97127,,180,4.19892,,180,4.20133
180,1.96934,,180,4.2002,,180,4.19972
180,1.97014,,180,4.20149,,180,4.20294
180,1.96966,,180,4.19827,,180,4.20133
180,1.97095,,180,4.20085,,180,4.2023
180,1.97079,,180,4.20214,,180,4.20053
180,1.9703,,180,4.19972,,180,4.20069
180,1.96918,,180.01667,4.20181,,180,4.20004
180,1.97159,,180.01667,4.2002,,180,4.2023
180,1.97175,,180,4.19956,,180,4.20423
180,1.96998,,180,4.20278,,180,4.20149
180,1.96676,,180,4.20439,,180,4.20069
180,1.96708,,180,4.20085,,180,4.20117
180,1.9666,,180,4.20133,,180,4.20488
180,1.96724,,180.01667,4.20069,,180,4.20407
180,1.96579,,180.01667,4.2002,,180,4.20181
180,1.96515,,180.01667,4.19908,,180,4.20133
180,1.9666,,180.01667,4.19908,,180,4.20407
180,1.96885,,180.01667,4.19956,,180,4.20165
180,1.96837,,180.01667,4.19972,,180,4.20085
180,1.9666,,180.01667,4.1994,,180,4.20165
180,1.9674,,180.01667,4.19875,,180,4.20246
180,1.96418,,180.03333,4.20471,,180,4.20165
180,1.9674,,180.03333,4.20181,,180,4.20343
180,1.96676,,180.03333,4.19811,,180,4.2023
180,1.97014,,180.03333,4.20262,,180,4.20246
180,1.97175,,180.03333,4.20053,,180,4.20149
180,1.97272,,180.03333,4.20037,,180,4.20181
180,1.97063,,180.03333,4.20278,,180,4.19972
180,1.9674,,180.03333,4.20037,,180,4.19988
180,1.9666,,180.03333,4.19908,,180,4.2002
180,1.97046,,180.03333,4.20133,,180,4.20181
180,1.97014,,180.03333,4.19811,,180,4.20471
180,1.96773,,180.05,4.20117,,180,4.19988
180,1.96644,,180.05,4.2023,,180,4.19827
180,1.96837,,180.05,4.19811,,180,4.20278
180,1.96467,,180.05,4.20214,,180,4.20037
180,1.96354,,180.06667,4.2031,,180,4.20359
180,1.96595,,180.06667,4.20117,,180,4.20149
180,1.96563,,180.13333,4.20359,,180,4.20375
180,1.96757,,180.25,4.20037,,180,4.20407
180,1.9674,,180.3,4.20165,,180,4.20214
180,1.96837,,180.31667,4.20165,,180,4.19924
180,1.96708,,180.3,4.19972,,180,4.20198
180,1.96628,,180.31667,4.19859,,180,4.20375
180,1.97046,,180.31667,4.19634,,180,4.19972
180,1.96902,,180.3,4.20117,,180,4.20037
180,1.96692,,180.3,4.19972,,180,4.20069
180,1.97063,,180.31667,4.17942,,180,4.19988
180,1.96708,,180.31667,3.25237,,180.01667,4.20214
180,1.96773,,180.31667,2.51831,,180.01667,4.20069
180,1.96628,,180.31667,2.06132,,180.01667,4.20117
180,1.96757,,180.3,1.67665,,180.01667,4.19795
180,1.96644,,180.31667,1.62398,,180.01667,4.19892
180,1.96563,,180.3,1.64621,,180.01667,4.20085
180,1.96918,,180.35,1.78458,,180.01667,4.19924
180,1.9674,,180.31667,1.8859,,180.01667,4.20407
180,1.96982,,180.31667,1.96112,,180.01667,4.20133
180,1.97095,,180.31667,2.04424,,180.01667,4.20181
180,1.97079,,180.31667,2.11737,,180.01667,4.19859
180,1.96837,,180.3,2.20194,,180.01667,2.61077
180,1.96579,,180.26667,2.25413,,180.01667,1.34627
180,1.96676,,180.23333,2.28748,,180.01667,1.3482
180,1.96644,,180.21667,2.35046,,180,1.3532
180,1.9695,,180.21667,2.38703,,180,1.34788
180,1.96773,,180.2,2.38171,,180,1.33177
180,1.96821,,180.15,2.29456,,180,1.33612
180,1.97046,,180.11667,2.12623,,180,1.33806
180,1.96757,,180.08333,1.87365,,180,1.33338
180,1.96773,,180.03333,1.33403,,180,1.33757
180,1.96531,,180.05,1.15201,,180,1.33886
180,1.96386,,180.08333,1.34498,,180,1.33177
180,1.96579,,180.1,1.76911,,180,1.33419
180,1.96757,,180.13333,2.20162,,180,1.33838
180,1.96241,,180.16667,2.4927,,180,1.33564
180,1.96483,,180.2,2.87398,,180,1.33145
180,1.96306,,180.23333,3.03023,,180,1.33145
180,1.9666,,180.25,3.15201,,180,1.33322
180,1.96241,,180.28333,3.23046,,180,1.33499
180,1.96418,,180.33333,3.35998,,180,1.33596
180,1.96273,,180.35,3.41217,,180,1.33773
180,1.96515,,180.35,3.4265,,180,1.33822
180,1.96434,,180.36667,3.46323,,180,1.3358
180,1.96547,,180.35,3.44873,,180,1.33661
180,1.9637,,180.33333,3.3909,,180,1.33789
180,1.96225,,180.35,3.35514,,180,1.33773
180,1.96209,,180.3,3.20727,,180,1.33403
180,1.96612,,180.28333,3.29296,,180,1.33548
180,1.96644,,180.25,2.97144,,180,1.33193
180,1.96869,,180.21667,2.54215,,180,1.33596
180,1.96821,,180.2,1.84514,,180,1.33016
180,1.96773,,180.2,0.91956,,180,1.33258
180,1.96547,,180.18333,0.40539,,180,1.33113
180,1.9674,,180.18333,0.18954,,180,1.33113
180,1.96595,,180.16667,0.10787,,180,1.33129
180,1.96418,,180.18333,0.06422,,180,1.33242
180,1.96547,,180.2,0.0784,,180,1.33097
180,1.96434,,180.21667,0.22192,,180,1.33177
180,1.96579,,180.21667,0.56647,,180,1.33161
180,1.96676,,180.25,1.98722,,180,1.33467
180,1.96563,,180.31667,3.07341,,180,1.33258
180,1.96595,,180.3,3.1169,,180,1.33129
180.01667,1.96789,,180.3,3.2208,,180,1.33387
180.01667,1.96579,,180.3,3.34693,,180,1.33403
180.01667,1.96837,,180.3,3.55731,,180,1.33757
180.01667,1.97127,,180.33333,3.66362,,180,1.33499
180.01667,1.96902,,180.35,3.74143,,180,1.33532
180.01667,1.97159,,180.36667,3.76511,,180,1.33387
180.01667,1.97046,,180.38333,3.78685,,180,1.33226
180.01667,1.97063,,180.33333,3.72371,,180,1.33612
180.01667,1.96773,,180.35,3.66539,,180,1.33306
180.01667,1.96692,,180.36667,3.62593,,180,1.28731
180.01667,1.96692,,180.36667,3.57664,,180,1.0858
180.01667,1.96612,,180.36667,3.4737,,180.01667,0.94244
180.01667,1.9703,,180.36667,3.33807,,180.01667,0.89895
180.01667,1.97369,,180.33333,3.31342,,180.01667,0.88993
180.01667,1.97111,,180.31667,3.32421,,180.01667,0.87559
180.01667,1.97095,,180.28333,3.268,,180.03333,0.87688
180.01667,1.97224,,180.3,3.3218,,180.03333,0.87366
180.01667,1.97304,,180.28333,3.32663,,180.03333,0.8648
180.01667,1.97208,,180.28333,3.3719,,180.06667,0.87945
180.01667,1.97626,,180.25,3.33146,,180.26667,0.9099
180.01667,1.97723,,180.25,3.32695,,180.7,0.89202
180.01667,1.98094,,180.23333,3.30843,,181.18333,0.84482
180.01667,2.00252,,180.21667,3.30199,,181.58333,0.72627
180.01667,2.00542,,180.2,3.27653,,181.8,0.68664
180.01667,2.00816,,180.16667,3.23191,,182.01667,0.63284
180.01667,2.00864,,180.16667,3.19035,,182.16667,0.58355
180.01667,2.00671,,180.15,3.11174,,182.33333,0.41779
180.01667,2.00687,,180.18333,2.98175,,182.46667,0.17408
180.01667,2.00768,,180.16667,2.80375,,182.61667,0.07082
180.03333,2.00655,,180.13333,2.63445,,182.8,0.06277
180.03333,2.00864,,180.11667,2.479,,183,0.1119
180.03333,2.00784,,180.1,2.32308,,183.23333,0.21821
180.03333,2.01154,,180.1,2.11496,,183.48333,0.26751
180.03333,2.01154,,180.1,1.94711,,183.75,0.24205
180.03333,2.01186,,180.11667,1.82436,,184,0.42375
180.03333,2.01138,,180.13333,1.8184,,184.21667,0.54183
180.05,2.01106,,180.15,2.01299,,184.41667,0.56841
180.05,2.01557,,180.13333,2.01331,,184.65,0.60658
180.05,2.01782,,180.15,2.17053,,184.9,0.57517
180.05,2.01605,,180.13333,2.16876,,185.16667,0.40298
180.05,2.01364,,180.15,2.28554,,185.43333,0.1868
180.08333,2.02523,,180.16667,2.39846,,185.68333,0.10159
180.16667,2.05536,,180.15,2.39814,,186,0.17939
180.4,2.09289,,180.18333,2.53909,,186.36667,0.52137
180.65,2.11077,,180.15,2.50639,,186.73333,0.82855
180.85,2.09047,,180.15,2.51589,,187.06667,0.91183
180.98333,2.0523,,180.15,2.56728,,187.4,0.96225
181.06667,2.02411,,180.13333,2.52507,,187.68333,1.00429
181.11667,1.99753,,180.15,2.46934,,187.93333,0.98174
181.16667,1.95371,,180.15,2.53667,,188.21667,0.90442
181.25,1.84498,,180.15,2.54537,,188.56667,0.82855
181.4,1.65651,,180.16667,2.56245,,188.93333,0.77298
181.53333,1.39379,,180.16667,2.59144,,189.3,0.61367
181.68333,1.20404,,180.13333,2.55729,,189.65,0.63026
181.83333,0.96789,,180.13333,2.57984,,189.95,0.68422
181.98333,0.66634,,180.11667,2.55504,,190.25,0.77701
182.11667,0.35739,,180.11667,2.55004,,190.48333,0.8946
182.26667,0.11706,,180.11667,2.54473,,190.68333,0.92198
182.41667,0.01815,,180.1,2.50623,,190.88333,0.89444
182.6,0.00156,,180.08333,2.47739,,191.13333,0.89572
182.75,0.00075,,180.06667,2.45871,,191.41667,0.90764
182.9,0.00027,,180.05,2.44292,,191.68333,0.91312
183.06667,-0.00021,,180.03333,2.39814,,191.96667,0.91344
183.25,0.00043,,180.01667,2.34353,,192.21667,0.90362
183.41667,0.00059,,180.01667,2.23674,,192.41667,0.92311
183.55,0.00124,,180.01667,2.13187,,192.55,0.93277
183.71667,0.00398,,180.01667,2.08564,,192.65,0.96563
183.9,0.28216,,180.01667,2.07517,,192.73333,0.95098
184.11667,0.50736,,180.01667,2.07356,,192.83333,0.92778
184.26667,0.57066,,180.01667,2.06405,,192.95,0.92214
184.41667,0.6127,,180.01667,2.04682,,193.06667,0.89444
184.56667,0.66699,,180.01667,2.01315,,193.21667,0.85513
184.76667,0.72127,,180.01667,1.95871,,193.45,0.84611
185.01667,0.70871,,180.03333,1.8598,,193.75,0.83419
185.25,0.62108,,180.06667,1.71595,,194.1,0.8743
185.46667,0.64105,,180.08333,1.63912,,194.36667,0.88461
185.61667,0.72997,,180.1,1.56389,,194.51667,0.87543
185.75,0.7915,,180.1,1.52604,,194.68333,0.85819
185.88333,0.8714,,180.1,1.48029,,194.86667,0.84386
186.06667,0.9608,,180.1,1.42552,,195.08333,0.80278
186.31667,1.0196,,180.1,1.40394,,195.33333,0.78426
186.61667,1.056,,180.11667,1.5407,,195.65,0.71016
186.9,1.1003,,180.11667,1.65136,,196.05,0.58661
187.11667,1.11528,,180.11667,1.6549,,196.46667,0.60723
187.26667,1.14621,,180.11667,1.69566,,196.78333,0.53522
187.41667,1.15555,,180.11667,1.70661,,197,0.55391
187.51667,1.19373,,180.11667,1.70001,,197.25,0.56454
187.58333,1.22659,,180.13333,1.72159,,197.5,0.65893
187.68333,1.24108,,180.15,1.72336,,197.7,0.76509
187.78333,1.25123,,180.16667,1.73303,,197.86667,0.80616
187.9,1.27153,,180.15,1.72787,,198.1,0.83419
188.08333,1.30858,,180.16667,1.74495,,198.45,0.79956
188.26667,1.33822,,180.15,1.75864,,199.08333,0.80938
188.46667,1.32452,,180.15,1.75349,,199.7,0.75236
188.58333,1.29617,,180.15,1.77394,,200.03333,0.71982
188.68333,1.29505,,180.13333,1.7667,,200.2,0.72433
188.83333,1.30068,,180.13333,1.7675,,200.38333,0.61576
188.96667,1.31083,,180.13333,1.75188,,200.58333,0.57243
189.1,1.3453,,180.13333,1.73577,,200.8,0.6723
189.23333,1.36592,,180.11667,1.70709,,200.96667,0.71998
189.41667,1.34466,,180.1,1.67601,,201.16667,0.76348
189.61667,1.36479,,180.11667,1.7079,,201.4,0.71354
189.76667,1.37269,,180.1,1.71934,,201.6,0.6992
189.9,1.36222,,180.1,1.74221,,201.75,0.66473
190.05,1.30777,,180.1,1.74608,,201.91667,0.62656
190.15,1.25091,,180.1,1.74624,,202.11667,0.55149
190.26667,1.23786,,180.1,1.7406,,202.36667,0.47369
190.4,1.25751,,180.08333,1.7311,,202.6,0.37736
190.55,1.2799,,180.06667,1.71128,,202.8,0.23819
190.7,1.29215,,180.05,1.68036,,202.93333,0.15878
190.81667,1.3176,,180.03333,1.65555,,202.96667,0.13236
190.91667,1.33097,,180.01667,1.62559,,202.96667,0.1599
191,1.32694,,180.01667,1.5887,,202.96667,0.16361
191.08333,1.32114,,180.01667,1.59933,,202.96667,0.12157
191.15,1.31728,,180,1.60175,,202.95,0.0486
191.23333,1.31454,,180,1.60126,,202.95,0.00011
191.35,1.31663,,180,1.59482,,202.95,0.00059
191.48333,1.32404,,180,1.57775,,202.96667,0.00108
191.6,1.32179,,180,1.556,,202.96667,0.00011
191.68333,1.3176,,179.98333,1.53796,,202.96667,0.06309
191.76667,1.31164,,179.98333,1.53087,,202.96667,0.14975
191.85,1.30938,,179.98333,1.52717,,202.98333,0.44421
191.93333,1.30487,,179.98333,1.52298,,203,0.46338
192.03333,1.31115,,179.96667,1.51299,,203.06667,0.51428
192.16667,1.30761,,179.96667,1.50526,,203.23333,0.5204
192.33333,1.25784,,179.95,1.49898,,203.5,0.484
192.5,1.19969,,179.95,1.48528,,203.81667,0.37366
192.65,1.10513,,179.95,1.4666,,204.1,0.32485
192.8,0.96579,,179.95,1.45113,,204.41667,0.47466
192.95,0.84659,,179.93333,1.43277,,204.83333,0.64814
193.13333,0.61206,,179.93333,1.41602,,205.3,0.59144
193.36667,0.51026,,179.93333,1.40539,,205.75,0.15507
193.56667,0.41216,,179.91667,1.39685,,206.06667,-0.00086
193.71667,0.00478,,179.91667,1.38928,,206.21667,0.00172
193.85,0.03877,,179.91667,1.38638,,206.25,0.00333
193.98333,0.02476,,179.91667,1.37784,,206.31667,0.00446
194.13333,0.10159,,179.91667,1.37398,,206.5,0.13977
194.26667,0.2762,,179.9,1.36931,,206.7,0.44373
194.38333,0.31696,,179.9,1.35368,,206.88333,0.51171
194.53333,0.52201,,179.9,1.33822,,207.03333,0.54988
194.66667,0.62076,,179.9,1.32082,,207.21667,0.57082
194.8,0.8474,,179.9,1.28635,,207.4,0.58532
194.95,1.00639,,179.88333,1.2646,,207.61667,0.59982
195.08333,1.07146,,179.9,1.24527,,207.8,0.57807
195.21667,1.11576,,179.9,1.22224,,207.9,0.58178
195.33333,1.13638,,179.9,1.20097,,207.96667,0.56486
195.43333,1.157,,179.9,1.18471,,208.1,0.54618
195.55,1.16296,,179.9,1.17407,,208.28333,0.53667
195.63333,1.1578,,179.9,1.18052,,208.46667,0.52572
195.75,1.15104,,179.9,1.17456,,208.58333,0.53152
195.88333,1.15136,,179.9,1.17246,,208.7,0.52862
196.01667,1.15313,,179.9,1.16087,,208.86667,0.52765
196.11667,1.1512,,179.91667,1.15426,,209.08333,0.532
196.2,1.15813,,179.91667,1.15136,,209.4,0.54972
196.25,1.15088,,179.91667,1.1454,,209.68333,0.55069
196.31667,1.15265,,179.91667,1.14121,,209.81667,0.55069
196.38333,1.14073,,179.91667,1.15635,,209.93333,0.52588
196.45,1.12897,,179.95,1.17069,,210.08333,0.50864
196.51667,1.11576,,180,1.18181,,210.28333,0.48191
196.56667,1.11077,,180.03333,1.18068,,210.48333,0.4368
196.65,1.10771,,180.05,1.17311,,210.61667,0.38961
196.76667,1.1098,,180.06667,1.17407,,210.75,0.36738
196.86667,1.12027,,180.08333,1.17021,,210.91667,0.35417
196.98333,1.12446,,180.08333,1.16795,,211.1,0.38461
197.1,1.11657,,180.08333,1.16505,,211.25,0.3793
197.28333,1.10658,,180.1,1.1665,,211.36667,0.3946
197.48333,1.0974,,180.1,1.16054,,211.48333,0.37301
197.63333,1.09337,,180.1,1.16715,,211.58333,0.34917
197.73333,1.09257,,180.1,1.18342,,211.71667,0.31422
197.85,1.08032,,180.1,1.13251,,211.88333,0.25945
197.96667,1.07324,,180.1,0.38365,,212.05,0.20984
198.08333,1.07904,,180.1,0.68181,,212.18333,0.21467
198.2,1.07163,,180.1,0.93197,,212.28333,0.25752
198.28333,1.0618,,180.1,0.92246,,212.41667,0.21515
198.36667,1.05294,,180.1,0.90926,,212.61667,0.1446
198.46667,1.04666,,180.1,0.86995,,212.83333,0.18245
198.58333,1.04038,,180.1,0.87704,,213.03333,0.23996
198.7,1.00059,,180.1,0.85642,,213.23333,0.25768
198.86667,0.96354,,180.1,0.82195,,213.4,0.31422
199.01667,0.93245,,180.1,0.83242,,213.51667,0.3648
199.16667,0.90362,,180.1,0.81406,,213.6,0.42907
199.36667,0.90104,,180.1,0.80471,,213.68333,0.43938
199.6,0.88574,,180.1,0.77427,,213.75,0.44598
199.81667,0.92037,,180.1,0.7667,,213.8,0.44051
200.01667,0.91586,,180.1,0.75897,,213.86667,0.436
200.18333,0.8619,,180.1,0.80407,,213.96667,0.42037
200.35,0.79424,,180.1,0.80471,,214.13333,0.40749
200.53333,0.74946,,180.1,0.7886,,214.31667,0.39025
200.68333,0.67085,,180.1,0.78651,,214.51667,0.37865
200.85,0.5829,,180.1,0.78055,,214.75,0.32904
201.01667,0.49705,,180.1,0.78248,,214.93333,0.29731
201.26667,0.44051,,180.1,0.78651,,215.13333,0.2791
201.55,0.22208,,180.1,0.7849,,215.36667,0.29199
201.81667,0.30504,,180.1,0.79022,,215.68333,0.32324
202,0.67456,,180.1,0.78474,,215.96667,0.35884
202.2,0.83629,,180.1,0.77958,,216.15,0.37156
202.43333,0.87188,,180.1,0.74914,,216.3,0.38493
202.68333,0.88976,,180.1,0.76702,,216.43333,0.4033
202.85,0.90974,,180.1,0.76718,,216.6,0.40265
202.93333,0.91344,,180.1,0.77153,,216.81667,0.42005
203.05,0.87462,,180.1,0.77217,,217.03333,0.41119
203.2,0.83226,,180.1,0.77443,,217.21667,0.4062
203.31667,0.81389,,180.1,0.76557,,217.36667,0.40716
203.38333,0.80681,,180.1,0.7435,,217.48333,0.41312
203.46667,0.83129,,180.1,0.74173,,217.6,0.41151
203.53333,0.8619,,180.1,0.73931,,217.71667,0.41425
203.6,0.89444,,180.1,0.75252,,217.83333,0.40024
203.66667,0.88944,,180.1,0.76315,,217.98333,0.38896
203.75,0.8838,,180.08333,0.75462,,218.13333,0.38075
203.8,0.88397,,180.08333,0.75188,,218.3,0.37462
203.86667,0.88074,,180.1,0.73803,,218.51667,0.37108
203.88333,0.87672,,180.1,0.73239,,218.76667,0.39122
203.9,0.87897,,180.08333,0.72836,,219,0.37414
203.91667,0.87801,,180.08333,0.72675,,219.21667,0.34337
203.91667,0.87881,,180.08333,0.72176,,219.38333,0.30504
203.91667,0.88042,,180.08333,0.72514,,219.5,0.18245
203.91667,0.88107,,180.08333,0.72353,,219.58333,0.18858
203.93333,0.88187,,180.08333,0.71982,,219.66667,0.2303
203.93333,0.87366,,180.08333,0.72047,,219.76667,0.27008
203.93333,0.86963,,180.08333,0.72015,,219.83333,0.29247
203.93333,0.88074,,180.08333,0.71547,,219.91667,0.31084
203.95,0.87994,,180.08333,0.71676,,220.01667,0.33645
203.96667,0.88203,,180.08333,0.71467,,220.1,0.3416
203.96667,0.8772,,180.08333,0.71708,,220.18333,0.34273
203.98333,0.86721,,180.08333,0.71596,,220.33333,0.335
204,0.86657,,180.08333,0.71547,,220.51667,0.3292
204.01667,0.86898,,180.08333,0.71596,,220.68333,0.33693
204.08333,0.86335,,180.08333,0.7187,,220.83333,0.33516
204.2,0.84353,,180.08333,0.71966,,221.06667,0.32388
204.33333,0.83548,,180.08333,0.7187,,221.38333,0.27169
204.46667,0.81631,,180.08333,0.72337,,221.68333,0.1744
204.56667,0.80665,,180.08333,0.71918,,221.93333,0.14557
204.65,0.79344,,180.08333,0.72192,,222.1,0.25285
204.75,0.76654,,180.08333,0.7195,,222.2,0.2907
204.86667,0.74173,,180.08333,0.72015,,222.26667,0.30939
204.96667,0.71161,,180.08333,0.71821,,222.35,0.31776
205.03333,0.69034,,180.08333,0.71902,,222.41667,0.32405
205.1,0.66312,,180.08333,0.71805,,222.51667,0.32984
205.2,0.62575,,180.08333,0.72015,,222.66667,0.33645
205.33333,0.5734,,180.08333,0.71596,,222.85,0.34048
205.46667,0.52153,,180.08333,0.71676,,223.03333,0.33822
205.61667,0.43906,,180.08333,0.71596,,223.2,0.32388
205.8,0.46338,,180.08333,0.71886,,223.35,0.31196
206,0.56889,,180.08333,0.7166,,223.48333,0.31084
206.16667,0.71821,,180.08333,0.72031,,223.63333,0.30117
206.26667,0.73013,,180.08333,0.71692,,223.75,0.28812
206.35,0.72095,,180.08333,0.72321,,223.85,0.28184
206.4,0.70871,,180.06667,0.72417,,223.9,0.28007
206.46667,0.70726,,180.06667,0.74286,,223.98333,0.27298
206.56667,0.74737,,180.06667,0.72691,,224.11667,0.27733
206.71667,0.79102,,180.06667,0.73674,,224.26667,0.27943
206.85,0.78764,,180.06667,0.71644,,224.43333,0.29634
206.95,0.78087,,180.06667,0.7137,,224.56667,0.31212
207,0.78587,,180.06667,0.71547,,224.7,0.31825
207.03333,0.78587,,180.06667,0.71499,,224.81667,0.31068
207.1,0.78474,,180.08333,0.72079,,224.91667,0.29924
207.2,0.78877,,180.08333,0.7224,,225.05,0.29537
207.36667,0.77636,,180.08333,0.71821,,225.18333,0.26831
207.68333,0.74753,,180.08333,0.69034,,225.36667,0.19985
208.15,0.67456,,180.08333,0.68229,,225.6,0.13687
208.5,0.6897,,180.08333,0.71451,,225.88333,0.06744
208.7,0.71902,,180.08333,0.70323,,226.16667,0.11109
208.81667,0.72176,,180.08333,0.69872,,226.41667,0.12753
208.9,0.72933,,180.08333,0.69614,,226.6,0.14412
208.96667,0.7348,,180.08333,0.7042,,226.78333,0.16651
209.01667,0.7319,,180.08333,0.69647,,226.96667,0.21
209.11667,0.72611,,180.08333,0.69824,,227.15,0.21129
209.33333,0.71902,,180.08333,0.70178,,227.33333,0.23722
209.58333,0.71354,,180.08333,0.69147,,227.55,0.2485
209.73333,0.70371,,180.08333,0.76509,,227.78333,0.26122
209.81667,0.70565,,180.08333,0.7886,,228.03333,0.26525
209.86667,0.70339,,180.08333,0.79038,,228.28333,0.25091
209.93333,0.70581,,180.08333,0.83371,,228.43333,0.22981
